年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,,武洵玉,109,110,122.5,/,/,/,77,77,75
本高2023届,3班,瞿贞香,117,127,/,/,/,/,72,84,76
本高2023届,4班,魏臻玺,102,98,123.5,/,/,79,71,80,/
本高2023届,8班,戚纯好,96,67,126,54,46,63,/,/,/
本高2023届,8班,褚曦或,91,122,136,79,73,60,/,/,/
本高2023届,15班,卫绮曼,98,84,76.5,52,57,/,54,/,/
本高2023届,,邱沛珠,102,113,/,/,/,/,63,78,71
本高2023届,1班,贡嫣燕,96,108,118.5,83,84,84,/,/,/
本高2023届,1班,梅恺子,115,123,127.5,65,55,/,/,/,62
本高2023届,1班,蔡蕴婉,108,133,120.5,76,69,88,/,/,/
本高2023届,1班,伏伦西,117,125,124,85,84,84,/,/,/
本高2023届,2班,祁葵诗,109,113,124,/,/,83,73,79,/
本高2023届,2班,殷营鑫,103,94,123,/,/,72,60,74,/
本高2023届,2班,夏朵忆,103,108,124.5,/,/,/,66,68,53
本高2023届,3班,吕卉笛,117,112,128.5,/,/,/,81,86,71
本高2023届,3班,羿仪俐,98,87,109,/,/,/,46,79,56
本高2023届,3班,宗萱瑛,113,111,126.5,/,/,/,59,83,68
本高2023届,3班,宗溢鸿,107,83,/,/,/,/,76,80,71
本高2023届,3班,邬霓优,107,93,/,/,/,/,56,83,61
本高2023届,3班,郜清羿,109,112,119.5,/,/,60,63,76,/
本高2023届,3班,邵汝可,104,127,134,/,/,/,69,79,74
本高2023届,3班,娄唯蔷,110,120,125.5,/,/,/,58,76,71
本高2023届,3班,羿霁凤,115,124,116.5,/,/,/,68,80,58
本高2023届,4班,柏凡妹,101,84,111,/,/,56,76,77,/
本高2023届,4班,李纬滔,110,94,114.5,/,/,82,64,79,/
本高2023届,4班,袁溢源,106,121,110.5,/,/,66,76,78,/
本高2023届,5班,伊婧骊,100,72,104.5,44,32,/,/,/,57
本高2023届,5班,莫琛胡,110,120,105.5,65,41,/,/,/,50
本高2023届,5班,骆茹悦,99,111,111.5,81,70,/,/,/,58
