年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,,武洵玉,99,98,118,/,/,/,73,62,74
本高2023届,3班,瞿贞香,123,116,142,/,/,/,81,73,83
本高2023届,4班,魏臻玺,110,93,113.5,/,/,71,71,76,/
本高2023届,8班,戚纯好,106,100,108,47,34,62,/,/,/
本高2023届,8班,褚曦或,98,118,119,72,70,58,/,/,/
本高2023届,15班,卫绮曼,105,79,86.5,50,49,/,46,/,/
本高2023届,,邱沛珠,114,113,131.5,/,/,/,63,78,74
本高2023届,1班,贡嫣燕,115,129,116,84,62,81,/,/,/
本高2023届,1班,梅恺子,120,101,127,68,76,/,/,/,66
本高2023届,1班,蔡蕴婉,113,118,124,69,82,80,/,/,/
本高2023届,1班,伏伦西,115,130,118.5,78,73,85,/,/,/
本高2023届,2班,祁葵诗,114,112,123,/,/,68,72,76,/
本高2023届,2班,殷营鑫,101,93,127,/,/,61,66,46,/
本高2023届,2班,夏朵忆,116,100,116.5,/,/,/,62,69,66
本高2023届,3班,吕卉笛,112,108,122.5,/,/,/,73,64,73
本高2023届,3班,羿仪俐,108,78,105.5,/,/,/,49,61,55
本高2023届,3班,宗萱瑛,110,105,120.5,/,/,/,67,78,74
本高2023届,3班,宗溢鸿,107,61,107.5,/,/,/,61,65,69
本高2023届,3班,邬霓优,106,108,114.5,/,/,/,47,70,60
本高2023届,3班,郜清羿,109,106,133.5,/,/,61,57,75,/
本高2023届,3班,邵汝可,121,124,132.5,/,/,/,77,65,76
本高2023届,3班,娄唯蔷,109,124,126,/,/,/,64,73,65
本高2023届,3班,羿霁凤,116,105,122.5,/,/,/,71,72,82
本高2023届,4班,柏凡妹,114,81,121.5,/,/,72,59,65,/
本高2023届,4班,李纬滔,109,99,119,/,/,67,64,73,/
本高2023届,4班,袁溢源,115,122,111,/,/,71,75,70,/
本高2023届,5班,伊婧骊,112,73,89.5,37,25,/,/,/,46
本高2023届,5班,莫琛胡,112,104,122,48,67,/,/,/,69
本高2023届,5班,骆茹悦,102,107,85.5,64,64,/,/,/,62
本高2023届,6班,许普奕,99,134,123.5,85,78,66,/,/,/
本高2023届,6班,彭珉月,117,124,130,79,72,/,80,/,/
本高2023届,6班,郑拓燃,118,119,130,77,77,77,/,/,/
本高2023届,6班,裴露品,118,122,120.5,66,69,/,/,/,52
本高2023届,6班,奚星珍,111,108,121,72,83,79,/,/,/
本高2023届,7班,咎疆泽,105,136,134,95,81,76,/,/,/
本高2023届,8班,雷航焘,110,115,123.5,71,66,67,/,/,/
本高2023届,8班,韩知优,100,130,95,82,65,64,/,/,/
本高2023届,8班,郝枫熹,100,106,135.5,66,41,63,/,/,/
本高2023届,8班,樊疆淮,99,97,108,54,50,74,/,/,/
本高2023届,8班,罗怀宸,98,128,121,84,71,75,/,/,/
本高2023届,9班,黄澎朔,90,102,105,71,67,59,/,/,/
本高2023届,9班,钟晴连,104,90,115,34,26,/,47,/,/
本高2023届,10班,祖千含,109,88,124,42,79,60,/,/,/
本高2023届,10班,王沛禄,109,75,94.5,44,40,45,/,/,/
本高2023届,10班,钱创均,104,94,118,59,/,50,/,/,54
本高2023届,10班,经德宜,93,118,92.5,74,81,56,/,/,/
本高2023届,11班,张妙霓,107,101,119.5,54,53,/,/,/,55
本高2023届,11班,窦娆栋,99,109,128.5,57,70,/,/,/,65
本高2023届,11班,喻言懿,112,119,104,62,55,/,/,/,67
本高2023届,11班,穆锨霖,100,115,117,80,66,/,/,/,65
本高2023届,11班,陈恋玮,109,127,122,73,63,/,/,/,70
本高2023届,11班,顾琥霖,112,107,120.5,50,65,/,/,/,65
本高2023届,12班,苗舸林,97,89,123.5,67,62,/,66,/,/
本高2023届,12班,郭圣俭,107,97,127,61,58,/,/,/,56
本高2023届,12班,骆雅娅,87,91,122.5,23,45,/,/,/,76
本高2023届,12班,孔忠然,111,101,73.5,58,69,74,/,/,/
本高2023届,12班,平悦卉,115,87,134.5,50,58,63,/,/,/
本高2023届,12班,张楚玫,91,73,118,36,14,/,46,/,/
本高2023届,12班,伊保旭,103,129,114,53,60,67,/,/,/
本高2023届,13班,袁逊勉,103,113,95,60,70,69,/,/,/
本高2023届,13班,龚晔幸,101,114,103.5,50,56,60,/,/,/
本高2023届,13班,彭言舜,103,98,96.5,63,41,55,/,/,/
本高2023届,13班,龚新旗,105,108,102.5,65,59,75,/,/,/
本高2023届,13班,郎远廷,106,69,72,37,34,38,/,/,/
本高2023届,13班,沈敏柳,106,113,117.5,69,42,68,/,/,/
本高2023届,13班,皮雯妲,100,121,92,55,43,50,/,/,/
本高2023届,13班,柏洋灏,105,121,126.5,74,71,65,/,/,/
本高2023届,14班,郑会弋,106,109,121.5,64,60,/,/,/,74
本高2023届,14班,乔涛椒,117,74,125,51,44,/,56,/,/
本高2023届,14班,林娟沛,106,87,90.5,48,37,46,/,/,/
本高2023届,14班,谢瑜曼,117,104,111.5,58,53,67,/,/,/
本高2023届,14班,支宸赞,98,71,91.5,40,33,/,34,/,/
本高2023届,14班,刘根璋,101,116,118.5,64,70,/,68,/,/
本高2023届,14班,赖杰曦,111,102,130,63,53,/,/,/,62
本高2023届,15班,段婧霁,99,105,99.5,54,50,/,53,/,/
本高2023届,15班,蒋咏双,93,96,87.5,69,45,/,50,/,/
本高2023届,,常达聪,118,134,136.5,58,69,/,74,/,/
本高2023届,,韶锁焱,115,116,135,/,/,81,72,73,/
本高2023届,,姜英佳,110,116,107,69,78,/,55,/,/
本高2023届,2班,农爽尚,115,103,117.5,/,/,75,71,68,/
本高2023届,2班,赖飙哲,116,96,119.5,/,/,69,78,71,/
本高2023届,4班,殷眉音,64,80,105,/,/,24,42,52,/
本高2023届,4班,戴翰喜,107,73,123,/,/,59,42,62,/
本高2023届,5班,幸蕙璇,109,108,123.5,54,55,/,/,/,62
本高2023届,5班,吕为玲,104,95,103.5,71,59,/,/,/,61
本高2023届,6班,魏曙烽,102,120,128,79,67,69,/,/,/
本高2023届,7班,翁燃革,119,121,118,77,82,87,/,/,/
本高2023届,7班,水众阔,116,132,136.5,96,76,80,/,/,/
本高2023届,7班,唐伶璐,113,130,133,97,88,87,/,/,/
本高2023届,8班,裘芸多,105,92,101,42,44,56,/,/,/
本高2023届,10班,俞佳钊,107,107,107,61,69,65,/,/,/
