年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,16班,窦如新,91,102,117.5,42,45,72,/,/,/
本高2023届,保送班,武洵玉,/,/,122.5,/,/,/,58,/,59
本高2023届,3班,瞿贞香,102,115,/,/,/,/,59,81,61
本高2023届,4班,魏臻玺,90,43,127,/,/,64,60,79,/
本高2023届,8班,戚纯好,72,75,124.5,56,11,48,/,/,/
本高2023届,8班,褚曦或,77,116,125.5,57,51,59,/,/,/
本高2023届,11班,章竹嫒,98,119,127.5,62,61,/,/,/,78
本高2023届,15班,卫绮曼,79,62,93.5,41,30,/,47,/,/
本高2023届,保送班,邱沛珠,102,81,/,/,/,/,57,80,56
本高2023届,1班,贡嫣燕,87,112,115,75,35,76,/,/,/
本高2023届,1班,梅恺子,101,105,132.5,52,52,/,/,/,55
本高2023届,1班,蔡蕴婉,99,111,122,47,48,70,/,/,/
本高2023届,1班,伏伦西,92,116,129.5,59,64,68,/,/,/
本高2023届,2班,祁葵诗,95,86,133.5,/,/,62,70,78,/
本高2023届,2班,夏朵忆,101,67,119,/,/,/,68,67,54
本高2023届,3班,吕卉笛,96,81,124.5,/,/,/,63,82,62
本高2023届,3班,羿仪俐,/,/,/,/,/,/,/,/,/
本高2023届,3班,宗萱瑛,99,96,123,/,/,/,56,79,61
本高2023届,3班,宗溢鸿,90,71,/,/,/,/,64,87,42
本高2023届,3班,邬霓优,91,86,/,/,/,/,55,69,49
本高2023届,3班,郜清羿,/,/,/,/,/,/,/,/,/
本高2023届,3班,邵汝可,98,89,138.5,/,/,/,70,79,68
本高2023届,3班,娄唯蔷,96,101,133,/,/,/,54,84,47
本高2023届,3班,羿霁凤,99,111,116.5,/,/,/,54,77,59
本高2023届,4班,柏凡妹,92,52,124,/,/,55,45,73,/
本高2023届,4班,李纬滔,95,72,113.5,/,/,67,56,74,/
本高2023届,4班,袁溢源,98,108,113.5,/,/,71,63,/,/
本高2023届,5班,伊婧骊,82,64,97.5,25,28,/,/,/,48
本高2023届,5班,莫琛胡,86,84,121,42,29,/,/,/,54
本高2023届,5班,骆茹悦,100,88,116,44,49,/,/,/,56
本高2023届,6班,许普奕,97,113,130,54,67,81,/,/,/
本高2023届,6班,彭珉月,103,116,/,53,49,/,70,/,/
本高2023届,6班,郑拓燃,95,107,/,77,41,82,/,/,/
本高2023届,6班,裴露品,99,108,124,63,53,/,/,/,60
本高2023届,6班,奚星珍,103,110,115.5,66,53,91,/,/,/
本高2023届,7班,咎疆泽,103,101,128.5,67,57,82,/,/,/
本高2023届,8班,雷航焘,85,102,113.5,65,58,73,/,/,/
本高2023届,8班,韩知优,80,109,88.5,50,42,58,/,/,/
本高2023届,8班,郝枫熹,90,93,122,46,31,57,/,/,/
本高2023届,8班,樊疆淮,97,68,109.5,46,41,57,/,/,/
本高2023届,8班,罗怀宸,93,104,109,63,55,77,/,/,/
本高2023届,9班,黄澎朔,91,96,104,38,33,68,/,/,/
本高2023届,9班,钟晴连,81,85,116,39,20,/,54,/,/
本高2023届,10班,祖千含,80,108,120.5,45,27,61,/,/,/
本高2023届,10班,王沛禄,80,76,103,23,32,53,/,/,/
本高2023届,10班,钱创均,92,85,116,31,/,65,/,/,40
本高2023届,10班,经德宜,81,86,104.5,54,66,57,/,/,/
本高2023届,11班,张妙霓,79,82,129.5,50,46,/,/,/,47
本高2023届,11班,窦娆栋,84,103,128.5,59,43,/,/,/,58
本高2023届,11班,喻言懿,94,90,121.5,56,45,/,/,/,55
本高2023届,11班,穆锨霖,89,78,112,54,45,/,/,/,58
本高2023届,11班,陈恋玮,91,126,107.5,58,45,/,/,/,57
本高2023届,11班,顾琥霖,87,96,104,54,39,/,/,/,54
本高2023届,12班,苗舸林,101,81,131.5,54,41,/,57,/,/
本高2023届,12班,郭圣俭,88,81,/,44,/,/,/,/,41
本高2023届,12班,骆雅娅,65,98,/,37,31,/,/,/,49
本高2023届,12班,孔忠然,85,85,80.5,57,46,79,/,/,/
本高2023届,12班,平悦卉,85,70,129.5,27,60,66,/,/,/
本高2023届,12班,张楚玫,88,49,110.5,37,/,/,/,/,/
本高2023届,12班,伊保旭,/,/,/,/,/,/,/,/,/
本高2023届,13班,袁逊勉,89,102,84,41,46,73,/,/,/
本高2023届,13班,龚晔幸,75,100,110.5,49,45,63,/,/,/
本高2023届,13班,彭言舜,87,73,85,45,46,50,/,/,/
本高2023届,13班,龚新旗,89,93,102,63,37,76,/,/,/
本高2023届,13班,郎远廷,83,59,93,31,30,52,/,/,/
本高2023届,13班,沈敏柳,84,81,120.5,49,37,44,/,/,/
本高2023届,13班,皮雯妲,93,89,101,52,29,61,/,/,/
本高2023届,13班,柏洋灏,99,100,112.5,41,37,60,/,/,/
本高2023届,14班,郑会弋,98,91,115.5,55,33,/,/,/,60
本高2023届,14班,乔涛椒,96,67,115,31,16,/,55,/,/
本高2023届,14班,林娟沛,80,80,104,44,22,49,/,/,/
本高2023届,14班,谢瑜曼,90,92,111.5,54,36,66,/,/,/
本高2023届,14班,支宸赞,80,70,91.5,24,24,/,46,/,/
本高2023届,14班,刘根璋,83,84,113.5,56,52,/,69,/,/
本高2023届,14班,赖杰曦,90,93,114.5,51,39,/,/,/,56
本高2023届,15班,段婧霁,79,63,101.5,56,44,/,58,/,/
本高2023届,15班,蒋咏双,68,106,92,56,25,/,52,/,/
本高2023届,保送班,姜英佳,/,/,/,64,/,/,/,/,/
本高2023届,2班,农爽尚,86,90,127.5,/,/,67,66,77,/
本高2023届,2班,赖飙哲,89,91,128.5,/,/,63,67,89,/
本高2023届,4班,殷眉音,38,51,/,/,/,30,2,49,/
本高2023届,4班,戴翰喜,86,77,127,/,/,45,49,64,/
本高2023届,5班,幸蕙璇,91,116,114,45,37,/,/,/,58
本高2023届,5班,吕为玲,76,87,92,61,39,/,/,/,46
本高2023届,6班,魏曙烽,95,111,141.5,63,59,83,/,/,/
本高2023届,7班,翁燃革,107,124,110.5,70,44,85,/,/,/
本高2023届,7班,水众阔,104,112,134.5,68,69,88,/,/,/
本高2023届,7班,唐伶璐,98,134,136.5,72,65,100,/,/,/
本高2023届,8班,裘芸多,83,57,96.5,39,22,42,/,/,/
本高2023届,10班,俞佳钊,89,100,107,41,45,68,/,/,/
本高2023届,10班,韶烈耀,97,68,122,47,/,74,/,/,66
本高2023届,12班,孔佳忱,85,98,131.5,28,49,74,/,/,/
本高2023届,13班,何唯菡,88,73,95.5,31,32,61,/,/,/
本高2023届,1班,高祺品,87,87,115,60,51,77,/,/,/
本高2023届,2班,强燃准,88,64,129.5,/,/,/,66,74,64
本高2023届,2班,庞绚鸽,94,92,112.5,/,/,52,63,80,/
本高2023届,4班,周玲纯,76,83,109,/,/,/,64,71,55
本高2023届,8班,滑里琦,102,115,106.5,71,52,75,/,/,/
本高2023届,11班,凤原启,/,/,/,/,/,/,/,/,/
本高2023届,12班,侯爱梓,95,69,118.5,39,55,69,/,/,/
本高2023届,12班,缪言焰,92,71,107.5,32,36,/,/,/,63
