年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,3班,瞿贞香,115,105,141.5,/,/,/,84,80,71
本高2023届,4班,魏臻玺,110,79,112,/,/,57,83,78,/
本高2023届,8班,戚纯好,108,82,121,56,47,50,/,/,/
本高2023届,8班,褚曦或,119,110,129,85,87,82,/,/,/
本高2023届,11班,章竹嫒,104,119,125,82,73,/,/,/,67
本高2023届,15班,卫绮曼,/,61,99,/,38,/,75,/,/
本高2023届,1班,贡嫣燕,111,119,119.5,82,68,76,/,/,/
本高2023届,1班,梅恺子,112,118,124.5,63,52,/,/,/,55
本高2023届,1班,蔡蕴婉,116,113,121,82,68,72,/,/,/
本高2023届,1班,伏伦西,98,112,116,57,90,77,/,/,/
本高2023届,2班,祁葵诗,105,69,124.5,/,/,71,74,63,/
本高2023届,2班,夏朵忆,113,102,111.5,/,/,/,78,66,61
本高2023届,3班,吕卉笛,113,94,116.5,/,/,/,74,75,65
本高2023届,3班,宗萱瑛,110,75,118.5,/,/,/,79,78,72
本高2023届,3班,宗溢鸿,106,85,137,/,/,/,79,73,58
本高2023届,3班,邵汝可,115,87,124.5,/,/,/,90,70,69
本高2023届,3班,娄唯蔷,104,100,126.5,/,/,/,81,62,41
本高2023届,3班,羿霁凤,112,84,122.5,/,/,/,72,73,61
本高2023届,4班,柏凡妹,55,35,36,/,/,6,30,36,/
本高2023届,4班,李纬滔,105,65,118,/,/,66,77,65,/
本高2023届,4班,袁溢源,111,130,115.5,/,/,68,83,80,/
本高2023届,5班,伊婧骊,106,45,109.5,40,37,/,/,/,43
本高2023届,5班,莫琛胡,119,100,114.5,65,41,/,/,/,54
本高2023届,5班,骆茹悦,92,94,96,63,65,/,/,/,52
本高2023届,6班,许普奕,119,93,123.5,72,71,70,/,/,/
本高2023届,6班,彭珉月,102,90,142.5,79,65,/,83,/,/
本高2023届,6班,郑拓燃,120,109,122.5,93,65,86,/,/,/
本高2023届,6班,裴露品,118,103,115,59,54,/,/,/,58
本高2023届,6班,奚星珍,124,107,127,83,65,84,/,/,/
本高2023届,7班,咎疆泽,114,106,121,59,65,86,/,/,/
本高2023届,8班,雷航焘,95,112,119,82,74,79,/,/,/
本高2023届,8班,韩知优,103,89,89,50,63,58,/,/,/
本高2023届,8班,郝枫熹,101,103,130.5,59,33,58,/,/,/
本高2023届,8班,樊疆淮,108,78,124,68,65,75,/,/,/
本高2023届,8班,罗怀宸,100,109,105,88,72,78,/,/,/
本高2023届,9班,黄澎朔,109,92,103.5,62,73,59,/,/,/
本高2023届,9班,钟晴连,86,79,111.5,60,50,/,59,/,/
本高2023届,10班,祖千含,100,94,127,68,48,81,/,/,/
本高2023届,10班,王沛禄,69,52,63,44,54,49,/,/,/
本高2023届,10班,钱创均,121,130,116,76,/,75,/,/,72
本高2023届,10班,经德宜,/,39,/,/,/,/,/,/,/
本高2023届,11班,张妙霓,106,71,125,48,34,/,/,/,44
本高2023届,11班,窦娆栋,104,84,107.5,78,65,/,/,/,55
本高2023届,11班,喻言懿,114,84,121,78,55,/,/,/,65
本高2023届,11班,穆锨霖,103,93,113.5,50,53,/,/,/,59
本高2023届,11班,陈恋玮,108,117,115.5,76,63,/,/,/,66
本高2023届,11班,顾琥霖,95,100,122.5,64,45,/,/,/,59
本高2023届,12班,苗舸林,118,58,131,74,63,/,81,/,/
本高2023届,12班,郭圣俭,103,102,139.5,62,57,/,/,/,68
本高2023届,12班,骆雅娅,106,83,123,59,56,/,/,/,62
本高2023届,12班,孔忠然,84,85,76.5,60,58,64,/,/,/
本高2023届,12班,平悦卉,116,73,118,61,54,79,/,/,/
本高2023届,12班,张楚玫,48,105,79.5,50,36,/,39,/,/
本高2023届,12班,伊保旭,92,110,120,65,55,66,/,/,/
本高2023届,13班,袁逊勉,95,101,93.5,65,65,88,/,/,/
本高2023届,13班,龚晔幸,111,102,101,79,61,56,/,/,/
本高2023届,13班,彭言舜,99,80,93,59,53,71,/,/,/
本高2023届,13班,龚新旗,94,81,98,84,54,68,/,/,/
本高2023届,13班,郎远廷,100,50,97,57,48,65,/,/,/
本高2023届,13班,沈敏柳,103,84,110.5,45,43,62,/,/,/
本高2023届,13班,皮雯妲,104,97,90,65,55,72,/,/,/
本高2023届,13班,柏洋灏,111,110,128.5,82,49,68,/,/,/
本高2023届,14班,郑会弋,111,83,115.5,50,54,/,/,/,55
本高2023届,14班,乔涛椒,108,68,116.5,43,49,/,78,/,/
本高2023届,14班,林娟沛,91,78,89.5,61,43,57,/,/,/
本高2023届,14班,谢瑜曼,118,111,105,74,73,65,/,/,/
本高2023届,14班,支宸赞,112,84,106.5,64,48,/,66,/,/
本高2023届,14班,刘根璋,112,96,117.5,64,57,/,75,/,/
本高2023届,14班,赖杰曦,113,90,116.5,53,44,/,/,/,47
本高2023届,15班,段婧霁,49,105,99.5,58,67,/,52,/,/
本高2023届,15班,蒋咏双,93,84,76,73,40,/,69,/,/
本高2023届,2班,农爽尚,104,66,116,/,/,78,85,73,/
本高2023届,2班,赖飙哲,112,87,114,/,/,76,92,78,/
本高2023届,4班,殷眉音,/,49,/,/,/,/,37,/,/
本高2023届,4班,戴翰喜,101,93,126.5,/,/,73,61,68,/
本高2023届,5班,幸蕙璇,106,95,109,68,47,/,/,/,47
本高2023届,5班,吕为玲,114,79,86,61,49,/,/,/,70
本高2023届,6班,魏曙烽,109,110,129.5,85,78,82,/,/,/
本高2023届,7班,翁燃革,117,126,125.5,82,72,89,/,/,/
本高2023届,7班,水众阔,115,129,144,81,89,89,/,/,/
本高2023届,7班,唐伶璐,108,137,138.5,94,85,98,/,/,/
本高2023届,8班,裘芸多,101,65,121.5,64,41,60,/,/,/
本高2023届,10班,俞佳钊,106,79,118.5,64,64,71,/,/,/
本高2023届,10班,韶烈耀,103,85,117.5,49,/,61,/,/,41
本高2023届,12班,孔佳忱,98,86,117,67,61,70,/,/,/
本高2023届,13班,何唯菡,91,66,82.5,62,44,57,/,/,/
本高2023届,1班,高祺品,99,92,123.5,76,65,66,/,/,/
本高2023届,2班,强燃准,108,87,113.5,/,/,/,80,64,49
本高2023届,2班,庞绚鸽,116,66,110.5,/,/,61,83,74,/
本高2023届,4班,周玲纯,100,65,90.5,/,/,/,74,63,61
本高2023届,8班,滑里琦,108,109,112,64,65,86,/,/,/
本高2023届,11班,凤原启,98,73,114.5,45,30,/,/,/,54
本高2023届,12班,侯爱梓,105,95,121,61,56,68,/,/,/
本高2023届,12班,缪言焰,114,84,104.5,53,51,/,/,/,75
本高2023届,13班,惠朋言,107,99,93,68,33,73,/,/,/
本高2023届,13班,毕斐言,103,110,116.5,64,68,83,/,/,/
本高2023届,14班,包玥耘,109,93,118.5,59,52,/,/,/,58
本高2023届,15班,惠沫绚,111,76,108,58,44,63,/,/,/
本高2023届,1班,束齐璋,116,102,98.5,89,58,/,/,/,68
本高2023届,1班,谢雨峥,114,103,123.5,64,62,/,/,/,62
本高2023届,1班,穆诺澄,98,100,120.5,74,67,83,/,/,/
本高2023届,2班,舒绮华,114,84,111,/,/,/,85,78,77
本高2023届,3班,谢棋燃,115,85,119,/,/,71,79,76,/
本高2023届,4班,蒋曼蓓,45,61,43.5,/,/,/,/,62,/
本高2023届,4班,秋勇力,109,93,105.5,/,/,/,72,74,69
本高2023届,6班,尤玥莲,118,108,135,85,60,/,71,/,/
本高2023届,6班,阮岑庚,117,107,118,78,54,79,/,/,/
本高2023届,6班,贾汝蔚,/,/,133.5,79,74,70,/,/,/
本高2023届,7班,成迎浪,120,66,131,66,61,/,/,/,58
本高2023届,8班,松骥雄,86,48,103.5,30,22,42,/,/,/
本高2023届,8班,傅晏成,101,95,114,57,42,55,/,/,/
本高2023届,9班,贾滨林,108,75,104.5,54,53,66,/,/,/
本高2023届,12班,洪晔晴,28,68,137,46,64,/,78,/,/
本高2023届,12班,姬馨珏,75,103,84.5,81,48,72,/,/,/
本高2023届,12班,经钰漫,104,69,97.5,49,57,64,/,/,/
本高2023届,14班,田祺爱,/,/,89.5,/,49,61,/,/,/
本高2023届,15班,俞航雁,112,86,124.5,72,47,63,/,/,/
