年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,3班,瞿贞香,120,98,131,/,/,/,74,83,71
本高2023届,4班,魏臻玺,100,70,115.5,/,/,72,68,74,/
本高2023届,8班,戚纯好,93,63,122,39,13,49,/,/,/
本高2023届,8班,褚曦或,98,91,128,53,45,61,/,/,/
本高2023届,11班,章竹嫒,108,106,118,75,68,/,/,/,74
本高2023届,1班,贡嫣燕,105,102,130,66,53,78,/,/,/
本高2023届,1班,梅恺子,106,107,135,72,64,/,/,/,60
本高2023届,1班,蔡蕴婉,116,98,128.5,76,69,78,/,/,/
本高2023届,1班,伏伦西,100,110,117.5,62,71,61,/,/,/
本高2023届,2班,祁葵诗,108,80,127.5,/,/,76,64,75,/
本高2023届,2班,殷营鑫,93,46,99,/,/,47,49,68,/
本高2023届,2班,夏朵忆,111,72,132.5,/,/,/,59,75,52
本高2023届,3班,吕卉笛,109,94,126.5,/,/,/,67,85,70
本高2023届,3班,宗萱瑛,115,99,113,/,/,/,70,71,62
本高2023届,3班,宗溢鸿,107,73,118,/,/,/,66,79,66
本高2023届,3班,邬霓优,107,67,131,/,/,/,63,65,55
本高2023届,3班,郜清羿,104,79,134,/,/,49,60,63,/
本高2023届,3班,邵汝可,113,99,142.5,/,/,/,65,86,73
本高2023届,3班,娄唯蔷,102,106,130.5,/,/,/,72,72,72
本高2023届,3班,羿霁凤,113,99,128,/,/,/,67,76,67
本高2023届,4班,柏凡妹,103,46,135.5,/,/,36,53,78,/
本高2023届,4班,李纬滔,102,71,115,/,/,72,67,71,/
本高2023届,4班,袁溢源,112,85,109.5,/,/,58,70,76,/
本高2023届,5班,伊婧骊,110,65,78.5,30,25,/,/,/,40
本高2023届,5班,莫琛胡,103,83,123.5,48,37,/,/,/,60
本高2023届,5班,骆茹悦,103,107,107.5,49,40,/,/,/,57
本高2023届,6班,许普奕,107,100,134,60,71,72,/,/,/
本高2023届,6班,彭珉月,113,106,136.5,63,49,/,68,/,/
本高2023届,6班,郑拓燃,104,112,98.5,79,50,80,/,/,/
本高2023届,6班,裴露品,116,112,119,68,55,/,/,/,62
本高2023届,6班,奚星珍,105,103,111.5,72,62,83,/,/,/
本高2023届,7班,咎疆泽,108,123,140.5,72,68,74,/,/,/
本高2023届,8班,雷航焘,107,76,113,66,68,73,/,/,/
