年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,3班,瞿贞香,114,113,141,/,/,/,78,84,82
本高2023届,4班,魏臻玺,/,/,126.5,/,/,78,56,80,/
本高2023届,8班,戚纯好,94,93,119.5,59,33,48,/,/,/
本高2023届,8班,褚曦或,104,126,130.5,80,61,68,/,/,/
本高2023届,11班,章竹嫒,122,129,137,87,72,/,/,/,82
本高2023届,1班,贡嫣燕,108,134,120,97,73,82,/,/,/
本高2023届,1班,梅恺子,117,109,134.5,75,57,/,/,/,79
本高2023届,1班,蔡蕴婉,109,110,137,89,70,79,/,/,/
本高2023届,1班,伏伦西,108,128,125,79,66,81,/,/,/
本高2023届,2班,祁葵诗,107,91,136,/,/,70,68,82,/
本高2023届,2班,殷营鑫,117,114,127.5,/,/,62,56,76,/
本高2023届,2班,夏朵忆,103,95,120,/,/,/,59,80,80
本高2023届,3班,吕卉笛,108,114,134,/,/,/,79,79,80
本高2023届,3班,羿仪俐,98,52,110,/,/,/,35,76,56
本高2023届,3班,宗萱瑛,115,114,141.5,/,/,/,/,72,79.5
本高2023届,3班,邬霓优,95,80,/,/,/,/,/,/,/
本高2023届,3班,郜清羿,105,107,134,/,/,47,60,79,/
本高2023届,3班,邵汝可,118,127,134,/,/,/,67,89,84.5
本高2023届,3班,娄唯蔷,98,109,138.5,/,/,/,66,78,62
本高2023届,3班,羿霁凤,103,100,135,/,/,/,71,74,84
本高2023届,4班,柏凡妹,104,62,132,/,/,58,46,77,/
本高2023届,4班,李纬滔,102,95,117.5,/,/,70,66,80,/
本高2023届,4班,袁溢源,109,121,120,/,/,55,77,82,/
本高2023届,5班,伊婧骊,/,/,109,45,21,/,/,/,73
本高2023届,5班,莫琛胡,111,98,127.5,71,43,/,/,/,59
本高2023届,5班,骆茹悦,106,107,121.5,83,66,/,/,/,71
本高2023届,6班,许普奕,103,133,136,100,73,78,/,/,/
本高2023届,6班,彭珉月,117,110,141.5,83,72,/,69,/,/
本高2023届,6班,郑拓燃,106,126,128,87,61,81,/,/,/
本高2023届,6班,裴露品,113,131,130.5,86,66,/,/,/,75
本高2023届,6班,奚星珍,118,122,124,72,66,89,/,/,/
本高2023届,7班,咎疆泽,119,134,138.5,93,82,85,/,/,/
本高2023届,8班,雷航焘,96,140,124.5,64,57,82,/,/,/
本高2023届,8班,韩知优,104,128,118.5,78,65,71,/,/,/
本高2023届,8班,郝枫熹,108,99,134,69,37,72,/,/,/
本高2023届,8班,樊疆淮,114,102,117,78,55,71,/,/,/
本高2023届,8班,罗怀宸,103,145,114,95,76,78,/,/,/
本高2023届,9班,黄澎朔,102,110,102.5,80,61,76,/,/,/
本高2023届,9班,钟晴连,95,79,112,58,/,/,55,/,/
本高2023届,10班,钱创均,99,99,110.5,63,/,65,/,/,71
本高2023届,10班,经德宜,98,132,119,88,80,70,/,/,/
本高2023届,11班,张妙霓,94,109,130.5,72,59,/,/,/,60
本高2023届,11班,窦娆栋,99,123,136.5,69,56,/,/,/,69.5
本高2023届,11班,穆锨霖,105,129,124,83,55,/,/,/,78
本高2023届,11班,陈恋玮,100,113,124,88,69,/,/,/,73
本高2023届,11班,顾琥霖,102,100,109.5,41,42,/,/,/,68
本高2023届,12班,苗舸林,98,115,/,/,/,/,/,/,/
本高2023届,12班,郭圣俭,105,94,121,63,58,/,/,/,65
本高2023届,12班,骆雅娅,104,89,119,62,38,/,/,/,69.5
本高2023届,12班,孔忠然,97,102,81,80,63,72,/,/,/
本高2023届,12班,平悦卉,116,103,132.5,68,71,65,/,/,/
本高2023届,12班,伊保旭,/,/,/,/,71,64,/,/,/
本高2023届,13班,袁逊勉,94,117,106,83,54,73,/,/,/
